2017-07-24 20:57:43.692	    7f46cb46e740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO
2017-07-24 20:57:46.665	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Wallet and key files found, loading...
2017-07-24 20:57:48.028	    7f46cb46e740	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:2438	Loaded wallet keys file, with public address: 9wviCeWe2D8XS82k2ovp5EUYLzBt9pYNW2LXUFsZiv8S3Mt21FZ5qQaAroko1enzw3eGr9qC7X1D7Geoo2RrAotYPwq9Gm8
2017-07-24 20:57:48.109	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Opened wallet: 9wviCeWe2D8XS82k2ovp5EUYLzBt9pYNW2LXUFsZiv8S3Mt21FZ5qQaAroko1enzw3eGr9qC7X1D7Geoo2RrAotYPwq9Gm8
2017-07-24 20:57:48.109	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	**********************************************************************
Use "help" command to see the list of available commands.
**********************************************************************
2017-07-24 20:57:48.198	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Starting refresh...
2017-07-24 20:57:48.586	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Refresh done, blocks received: 0
2017-07-24 20:57:48.586	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Balance: 0.000000000000, unlocked balance: 0.000000000000
2017-07-24 20:57:48.586	    7f46cb46e740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Background refresh thread started
2017-07-24 20:59:19.083	    7f46c57a0700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <b3848ed8b9ef76ff6ea2b042fd7662aa21e539a4c08065728b9379d0a7afc09e>
2017-07-24 20:59:19.083	    7f46c57a0700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 1, transaction <b3848ed8b9ef76ff6ea2b042fd7662aa21e539a4c08065728b9379d0a7afc09e>, received 0.004119879553
2017-07-24 20:59:19.086	    7f46c57a0700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <d1ae4b26ea803eefd2ac6359bf784bb64ccb7fd7556f5ef2c23e5413f58f4796>
2017-07-24 20:59:19.086	    7f46c57a0700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 2, transaction <d1ae4b26ea803eefd2ac6359bf784bb64ccb7fd7556f5ef2c23e5413f58f4796>, received 0.004119879553
2017-07-24 20:59:19.091	    7f46c57a0700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <3f44975ef14d778d3d2c1a5f1915e3c712e145681260d604fb16066b4e3e3068>
2017-07-24 20:59:19.091	    7f46c57a0700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 3, transaction <3f44975ef14d778d3d2c1a5f1915e3c712e145681260d604fb16066b4e3e3068>, received 0.004119879553
2017-07-24 20:59:19.095	    7f46c57a0700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <916cdc0c5e17897d16feb5581f4ac49507b47d27b27e2efe400ea42b71e2a016>
2017-07-24 20:59:19.095	    7f46c57a0700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 4, transaction <916cdc0c5e17897d16feb5581f4ac49507b47d27b27e2efe400ea42b71e2a016>, received 0.004119879553
2017-07-24 22:17:51.595	    7f63cce40740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO
2017-07-24 22:17:55.017	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Wallet and key files found, loading...
2017-07-24 22:17:56.100	    7f63cce40740	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:2438	Loaded wallet keys file, with public address: 9wviCeWe2D8XS82k2ovp5EUYLzBt9pYNW2LXUFsZiv8S3Mt21FZ5qQaAroko1enzw3eGr9qC7X1D7Geoo2RrAotYPwq9Gm8
2017-07-24 22:17:56.180	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Opened wallet: 9wviCeWe2D8XS82k2ovp5EUYLzBt9pYNW2LXUFsZiv8S3Mt21FZ5qQaAroko1enzw3eGr9qC7X1D7Geoo2RrAotYPwq9Gm8
2017-07-24 22:17:56.181	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	**********************************************************************
Use "help" command to see the list of available commands.
**********************************************************************
2017-07-24 22:17:56.183	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:119	Exception: boost::exception_detail::clone_impl<boost::exception_detail::error_info_injector<boost::system::system_error> >
2017-07-24 22:17:56.183	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Unwound call stack:
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [1] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:__cxa_throw+0x106 [0x7784c6]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [2] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:void boost::throw_exception<boost::system::system_error>(boost::system::system_error const&)+0x1d1 [0x610901]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [3] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:boost::asio::detail::do_throw_error(boost::system::error_code const&, char const*)+0x55 [0x6109d5]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [4] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:tools::is_local_address(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xa75 [0x771b65]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [5] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:cryptonote::simple_wallet::init(boost::program_options::variables_map const&)+0x742 [0x5ec5d2]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [6] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:main+0x265 [0x5c2ac5]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [7] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7f63ca2bd830]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [8] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:_start+0x29 [0x5ca7b9]
